County;Variable;Year;Region;Council of Government Region;Metropolitan Statistical Area (2013);Value;Vintage;Estimate/Projection;fips
New Hanover;Total Population;2020;Eastern North Carolina;Cape Fear Council of Governments;Wilmington;226885;2022;Estimate;37129
Yancey;Total Population;2020;Western North Carolina;High Country Council of Governments;Non-Metropolitan;18433;2022;Estimate;37199
Davie;Total Population;2020;Central North Carolina;Piedmont Triad Council of Governments;Winston-Salem;42818;2022;Estimate;37059
Orange;Total Population;2020;Central North Carolina;Triangle J Council of Governments;Durham-Chapel Hill;148613;2022;Estimate;37135
Gates;Total Population;2020;Eastern North Carolina;Albermarle Commission;Virginia Beach-Chesapeake-Norfolk (NC);10437;2022;Estimate;37073
Bertie;Total Population;2020;Eastern North Carolina;Mid-East Commission;Non-Metropolitan;17776;2022;Estimate;37015
Guilford;Total Population;2020;Central North Carolina;Piedmont Triad Council of Governments;Greensboro-High Point;542353;2022;Estimate;37081
Buncombe;Total Population;2020;Western North Carolina;Land-of-Sky Regional Council;Asheville;269994;2022;Estimate;37021
Stokes;Total Population;2020;Central North Carolina;Piedmont Triad Council of Governments;Winston-Salem;44498;2022;Estimate;37169
Surry;Total Population;2020;Central North Carolina;Piedmont Triad Council of Governments;Non-Metropolitan;71169;2022;Estimate;37171
Chatham;Total Population;2020;Central North Carolina;Triangle J Council of Governments;Durham-Chapel Hill;76476;2022;Estimate;37037
Chowan;Total Population;2020;Eastern North Carolina;Albermarle Commission;Non-Metropolitan;13690;2022;Estimate;37041
Cleveland;Total Population;2020;Western North Carolina;Isothermal Planning and Development Commission;Non-Metropolitan;99474;2022;Estimate;37045
Columbus;Total Population;2020;Eastern North Carolina;Cape Fear Council of Governments;Non-Metropolitan;50418;2022;Estimate;37047
Watauga;Total Population;2020;Western North Carolina;High Country Council of Governments;Non-Metropolitan;54259;2022;Estimate;37189
Montgomery;Total Population;2020;Central North Carolina;Piedmont Triad Council of Governments;Non-Metropolitan;25685;2022;Estimate;37123
Nash;Total Population;2020;Eastern North Carolina;Upper Coastal Plain Council of Governments;Rocky Mount;95251;2022;Estimate;37127
Durham;Total Population;2020;Central North Carolina;Triangle J Council of Governments;Durham-Chapel Hill;326474;2022;Estimate;37063
Edgecombe;Total Population;2020;Eastern North Carolina;Upper Coastal Plain Council of Governments;Rocky Mount;48824;2022;Estimate;37065
Pamlico;Total Population;2020;Eastern North Carolina;Eastern Carolina Council of Governments;Non-Metropolitan;12259;2022;Estimate;37137
Franklin;Total Population;2020;Central North Carolina;Kerr-Tar Council of Governments;Raleigh;69097;2022;Estimate;37069
Gaston;Total Population;2020;Central North Carolina;Centralina Council of Governments;Charlotte-Concord-Gastonia (NC);229303;2022;Estimate;37071
Alleghany;Total Population;2020;Western North Carolina;High Country Council of Governments;Non-Metropolitan;10929;2022;Estimate;37005
Robeson;Total Population;2020;Eastern North Carolina;Lumber River Council of Governments;Non-Metropolitan;116362;2022;Estimate;37155
Rockingham;Total Population;2020;Central North Carolina;Piedmont Triad Council of Governments;Greensboro-High Point;90939;2022;Estimate;37157
Jackson;Total Population;2020;Western North Carolina;Southwestern Commission;Non-Metropolitan;42810;2022;Estimate;37099
Rutherford;Total Population;2020;Western North Carolina;Isothermal Planning and Development Commission;Non-Metropolitan;64301;2022;Estimate;37161
Jones;Total Population;2020;Eastern North Carolina;Eastern Carolina Council of Governments;Non-Metropolitan;9149;2022;Estimate;37103
Lenoir;Total Population;2020;Eastern North Carolina;Eastern Carolina Council of Governments;Non-Metropolitan;54924;2022;Estimate;37107
Lincoln;Total Population;2020;Central North Carolina;Centralina Council of Governments;Charlotte-Concord-Gastonia (NC);87298;2022;Estimate;37109
Macon;Total Population;2020;Western North Carolina;Southwestern Commission;Non-Metropolitan;37022;2022;Estimate;37113
Mitchell;Total Population;2020;Western North Carolina;High Country Council of Governments;Non-Metropolitan;14875;2022;Estimate;37121
Moore;Total Population;2020;Central North Carolina;Triangle J Council of Governments;Pinehurst-Southern Pines;100535;2022;Estimate;37125
Perquimans;Total Population;2020;Eastern North Carolina;Albermarle Commission;Non-Metropolitan;13017;2022;Estimate;37143
Pitt;Total Population;2020;Eastern North Carolina;Mid-East Commission;Greenville;171065;2022;Estimate;37147
Richmond;Total Population;2020;Central North Carolina;Lumber River Council of Governments;Non-Metropolitan;42966;2022;Estimate;37153
Stanly;Total Population;2020;Central North Carolina;Centralina Council of Governments;Non-Metropolitan;62415;2022;Estimate;37167
Johnston;Total Population;2020;Eastern North Carolina;Triangle J Council of Governments;Raleigh;218202;2022;Estimate;37101
Martin;Total Population;2020;Eastern North Carolina;Mid-East Commission;Non-Metropolitan;21902;2022;Estimate;37117
Vance;Total Population;2020;Central North Carolina;Kerr-Tar Council of Governments;Non-Metropolitan;42344;2022;Estimate;37181
Mecklenburg;Total Population;2020;Central North Carolina;Centralina Council of Governments;Charlotte-Concord-Gastonia (NC);1118744;2022;Estimate;37119
Yadkin;Total Population;2020;Central North Carolina;Piedmont Triad Council of Governments;Winston-Salem;37140;2022;Estimate;37197
Pender;Total Population;2020;Eastern North Carolina;Cape Fear Council of Governments;Wilmington;60719;2022;Estimate;37141
Rowan;Total Population;2020;Central North Carolina;Centralina Council of Governments;Charlotte-Concord-Gastonia (NC);147300;2022;Estimate;37159
Sampson;Total Population;2020;Eastern North Carolina;Mid-Carolina Council of Governments;Non-Metropolitan;58873;2022;Estimate;37163
Transylvania;Total Population;2020;Western North Carolina;Land-of-Sky Regional Council;Non-Metropolitan;32946;2022;Estimate;37175
Warren;Total Population;2020;Central North Carolina;Kerr-Tar Council of Governments;Non-Metropolitan;18637;2022;Estimate;37185
